hotel_id,hotel_name,location,star_rating,user_rating,number_of_reviews,price_per_night,is_luxury,has_wifi,has_breakfast_included,has_free_ca        ncellation,distance_from_city_center,room_availability,booking_count_last_month,cancellation_rate,amenities_score,total_bookings
H10159,Hotel Heritage,Chabahil,1,9.6,1832,13592,TRUE,TRUE,TRUE,FALSE,7.92,4,229,0.39,2,8244
H10160,Hotel Heritage,Baluwatar,2,7.7,1281,1792,TRUE,TRUE,TRUE,TRUE,6.63,11,97,0.49,3,5141
H10161,Hotel Royal,Gongabu,5,6.5,1729,21575,FALSE,TRUE,TRUE,TRUE,0.47,36,102,0.32,3,2448
H10162,Hotel Boutique,Baneshwor,3,7.4,262,2089,FALSE,TRUE,TRUE,TRUE,2.02,26,315,0.29,3,10080
H10163,Hotel Kathmandu,Patan,3,7.4,1990,20164,TRUE,TRUE,TRUE,TRUE,2.01,20,52,0.3,3,1352
H10164,Hotel Durbar,Patan,2,5.1,794,21881,FALSE,TRUE,FALSE,TRUE,10.66,56,173,0.19,2,6747
H10165,Hotel Sagarmatha,Thamel,2,6.7,730,1789,FALSE,TRUE,TRUE,TRUE,10.83,12,476,0.2,3,21420
H10166,Hotel Himalaya,Sankhamul,4,8.6,1899,5194,FALSE,TRUE,TRUE,TRUE,9.7,24,574,0.15,3,6314
H10167,Hotel Kathmandu,Boudha,2,7.4,1415,13558,FALSE,TRUE,TRUE,TRUE,2.18,33,427,0.3,3,4697
H10168,Hotel Heritage,Gongabu,2,6.2,1569,21841,FALSE,TRUE,TRUE,TRUE,10.1,41,217,0.42,3,9114
H10169,Hotel Sagarmatha,Baluwatar,3,6.6,1667,14475,TRUE,TRUE,TRUE,TRUE,2.33,43,588,0.32,3,34104
H10170,Hotel Heritage,Baluwatar,4,9.1,746,7671,TRUE,TRUE,TRUE,TRUE,6.7,56,398,0.24,3,11542
H10171,Hotel Boutique,Teku,2,7.5,909,22019,FALSE,TRUE,TRUE,FALSE,8.83,47,313,0.04,2,5947
H10172,Hotel Boutique,Baluwatar,2,7.5,1938,6961,FALSE,TRUE,TRUE,TRUE,0.71,16,113,0.13,3,1582
H10173,Hotel Royal,Kalanki,4,9.6,1931,24122,FALSE,TRUE,TRUE,TRUE,7.22,20,591,0.42,3,15366
H10174,Hotel Durbar,Kirtipur,5,6.5,1452,13048,TRUE,TRUE,TRUE,TRUE,3.09,14,505,0.2,3,28280
H10175,Hotel Everest,Swayambhu,4,7.3,132,6155,FALSE,TRUE,TRUE,TRUE,6.02,25,82,0.44,3,3936
H10176,Hotel Heritage,Jamal,3,8.9,1327,1313,FALSE,TRUE,TRUE,TRUE,4.67,32,585,0.13,3,15795
H10177,Hotel Durbar,Durbar Marg,5,8.6,694,24017,FALSE,TRUE,TRUE,TRUE,8.27,34,516,0.29,3,9288
H10178,Hotel Annapurna,Patan,1,6.3,152,1232,FALSE,TRUE,TRUE,TRUE,5.92,25,54,0.48,3,1026
H10179,Hotel Heritage,Boudha,4,5.7,1012,23119,TRUE,TRUE,TRUE,TRUE,3.69,11,116,0.28,3,4756
H10180,Hotel Sagarmatha,Patan,3,8.4,947,10221,FALSE,TRUE,TRUE,TRUE,10.93,59,542,0.11,3,26016
H10181,Hotel Durbar,Lazimpat,5,6.2,1932,12798,FALSE,TRUE,FALSE,TRUE,11.51,21,554,0.12,2,14958
H10182,Hotel Kathmandu,Swayambhu,4,9.4,520,3711,FALSE,TRUE,TRUE,TRUE,9.64,9,560,0.09,3,18480
H10183,Hotel Durbar,Swayambhu,2,5.6,1960,13531,TRUE,TRUE,TRUE,TRUE,7.01,8,533,0.02,3,5863
H10184,Hotel Kathmandu,Koteshwor,4,6.5,1981,11480,FALSE,TRUE,TRUE,TRUE,10.62,35,376,0.35,3,9400
H10185,Hotel Boutique,Patan,1,5.3,1714,8940,FALSE,TRUE,TRUE,TRUE,7.26,33,504,0.39,3,12096
H10186,Hotel Kathmandu,Durbar Marg,4,8.4,66,13191,TRUE,TRUE,TRUE,TRUE,1.87,20,57,0.41,3,1653
H10187,Hotel Valley,Sankhamul,5,9.3,51,20728,FALSE,TRUE,TRUE,TRUE,0.31,32,22,0.05,3,1078
H10188,Hotel Everest,Gongabu,5,8.1,830,3122,TRUE,TRUE,TRUE,TRUE,8.74,9,272,0.47,3,15232
H10189,Hotel Valley,Baneshwor,4,9.5,1664,4779,FALSE,TRUE,TRUE,TRUE,9.05,44,458,0.31,3,22442
H10190,Hotel Sagarmatha,Chabahil,5,5.6,1154,6654,FALSE,TRUE,TRUE,TRUE,11.12,6,399,0.05,3,6384
H10191,Hotel Himalaya,Swayambhu,2,5.4,1857,13374,FALSE,TRUE,TRUE,TRUE,9.91,58,259,0.05,3,6993
H10192,Hotel Sagarmatha,Sankhamul,4,9,1796,12169,TRUE,TRUE,FALSE,TRUE,7.71,27,173,0.26,2,5882
H10193,Hotel Royal,Boudha,2,9.1,352,2172,TRUE,TRUE,TRUE,TRUE,2.36,17,475,0.13,3,10450
H10194,Hotel Heritage,Lazimpat,2,9,341,8317,FALSE,TRUE,TRUE,TRUE,7.17,14,373,0.13,3,7460
H10195,Hotel Valley,Boudha,3,8.8,1489,1159,TRUE,TRUE,FALSE,FALSE,5.27,39,137,0.02,1,6302
H10196,Hotel Sagarmatha,Swayambhu,4,6.7,1470,3129,TRUE,TRUE,TRUE,TRUE,2.86,29,200,0.25,3,3400
H10197,Hotel Heritage,Maharajgunj,5,6,350,20462,TRUE,FALSE,FALSE,TRUE,9.61,24,169,0.05,1,6084
H10198,Hotel Heritage,Sankhamul,2,9.5,350,19613,FALSE,TRUE,TRUE,TRUE,1.88,49,256,0.05,3,7424
H10199,Hotel Heritage,Kirtipur,3,6.5,1449,3917,FALSE,TRUE,FALSE,TRUE,7.6,49,51,0.09,2,2193
H10200,Hotel Everest,Sankhamul,4,6.9,858,20397,FALSE,TRUE,TRUE,TRUE,7.37,44,394,0.02,3,5122
H10201,Hotel Himalaya,Baluwatar,4,8.4,191,13765,FALSE,TRUE,FALSE,TRUE,3.71,29,26,0.06,2,624
